"post_id","tieu_de_bai_viet","link_bai_viet","noi_dung_comment"
"C-R_rUbyJoE","Chị gái t bảo t giống chuyển giới 🙂 hay là thế thật đi chứ giới tính này ế quá 🌝 Translate Top View activityView activity","https://www.threads.com/@anhhanh.ng/post/C-R_rUbyJoE","Profile"
"C-R_rUbyJoE","Chị gái t bảo t giống chuyển giới 🙂 hay là thế thật đi chứ giới tính này ế quá 🌝 Translate Top View activityView activity","https://www.threads.com/@anhhanh.ng/post/C-R_rUbyJoE","Nhìn qua thì chắc do kén 😆😆"
"C-R_rUbyJoE","Chị gái t bảo t giống chuyển giới 🙂 hay là thế thật đi chứ giới tính này ế quá 🌝 Translate Top View activityView activity","https://www.threads.com/@anhhanh.ng/post/C-R_rUbyJoE","Cô giáo mà ế thì tớ chắc cả đời ko lấy đc vợ 🥹"
"C-R_rUbyJoE","Chị gái t bảo t giống chuyển giới 🙂 hay là thế thật đi chứ giới tính này ế quá 🌝 Translate Top View activityView activity","https://www.threads.com/@anhhanh.ng/post/C-R_rUbyJoE","Haha để anh 🤣"
"C-R_rUbyJoE","Chị gái t bảo t giống chuyển giới 🙂 hay là thế thật đi chứ giới tính này ế quá 🌝 Translate Top View activityView activity","https://www.threads.com/@anhhanh.ng/post/C-R_rUbyJoE","thôi đừng chuyển giới . phí quá trời ơi"
"C-Uzu2aP1Yv","(nhật) Ký ᝰ","https://www.threads.com/@yourfriend.jamie/post/C-Uzu2aP1Yv","For you New thread Search Messages Activity Profile Insights Saved Edit Following Ghost posts More yourfriend.jamie (nhật) Ký ᝰ View activityView activity"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Profile"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","t người miền bắc đi du học vào miền nam tới nay được 12 năm, t bị mấy đứa bạn kêu là bắc kỳ miết và sau đó t nhận ra một điều là chữ bắc kỳ, nam kỳ hay trung kỳ cũng bình thường và một số cơ quan nhà nước vân sử dụng. NHƯNG vấn đề ở chỗ thái độ tụi nó lúc kêu chữ “bắc kỳ” nó thù địch vãi lồn 🙂🖕 nó giống chữ “mẹ mày” vậy nó ko phải câu chửi nhưng được nhấn nhá thành câu chửi. ĐỊT MẸ LŨ PHÂN BIỆT VÙNG MIỀN 🖕"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","· Ghét ở cách chúng nó nói chứ chữ đó cũng bình thường"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Vì họ quên rằng ngườ Nam cũng là từ người Bắc đi khai hoang mà ra:-)"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","thì cứ gọi lại Nam Kì, Trung Kì đi ai nói gì đâu?"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Bắc kỳ Trung kỳ Nam kỳ. Từ khi nào từ này ko được phép sử dụng nữa vậy"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Ko phải ko đc sử dụng mà là phải sử dụng đúng. Nó là tên gọi cũ thì nên sử dụng nó vs ý nghĩa là nhắc về lịch sử, chứ đừng sử dụng nó vs ý phân biệt vùng miền. T nói vậy b hiểu ko?"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Vốn dĩ nó ko phải là từ phân biệt vùng miền. Một số sử dụng để phân biệt r lại tự cho nó là từ phân biệt thì ko đúng. Ko lẽ giờ dùng từ miền Bắc để phân biệt r sau này cũng k đc dùng từ miền Bắc lun sao"
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","Thì nó vốn dĩ là 1 phần trong lịch sử của Việt Nam đúng rồi, nhưng có 1 số thành phần xấu đang lợi dụng nó để phân biệt vùng miền nên mới phải nói là sử dụng đúng."
"C-iOakZBopq","Tao có 1 thắc mắc là tại sao sơ hở là người Miền Nam kêu Bắc Kỳ vậy Translate Top View activityView activity","https://www.threads.com/@hasaky.03/post/C-iOakZBopq","vì mb có lối cư xử thô lỗ nên mn ghét mà, với lại đừng nhận vơ tổ tiên trong khi mn là nhiều chủng tộc mà, người chăm, người khơ me, phần của mấy đông nam á, cũng 1 phần của chúa nguyễn, thêm nữa đánh giá nam với bắc thì còn là tư tưởng, lối sống, văn hóa nữa chứ ko phải là vấn đề về gen, ví dụ 1 người có tổ tiên là từ mb theo chúa Nguyễn vào nam được cả chục đời rồi và văn hóa , nếp sống của họ y như trong nam, vậy họ cũng là người miền nam thôi, và họ khác với mb ở cái đó chứ ko phải gen thôi"
"C-iQvdDSKXA","Thế nào là hát bằng cả tính mạng Tôi sẽ cho bạn xem một ví dụ điển hình nhé!","https://www.threads.com/@besafe.im/post/C-iQvdDSKXA","Profile"
"C-iQvdDSKXA","Thế nào là hát bằng cả tính mạng Tôi sẽ cho bạn xem một ví dụ điển hình nhé!","https://www.threads.com/@besafe.im/post/C-iQvdDSKXA","Sao nhìn ảnh meo meo quá v ạ"
"C-iQvdDSKXA","Thế nào là hát bằng cả tính mạng Tôi sẽ cho bạn xem một ví dụ điển hình nhé!","https://www.threads.com/@besafe.im/post/C-iQvdDSKXA","🌚🌚"
"C-iQvdDSKXA","Thế nào là hát bằng cả tính mạng Tôi sẽ cho bạn xem một ví dụ điển hình nhé!","https://www.threads.com/@besafe.im/post/C-iQvdDSKXA","Lòi 2 cái răng thỏ trông iêu vãi ㅋㅋㅋㅋ"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","Profile"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","Dạ cho em hỏi anh có/từng đi xuất gia gieo duyên chưa ạ☺️🙏"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","· Mình chưa đi bạn à."
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","Nếu có tgian mình cũng muốn nghiên cứu, mình thấy nếu Phật giáo chính gốc rất hay và khoa học, chứ ko mê tín như nhiều người bị lôi kéo."
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","· Đúng rồi bạn. Phật giáo nguyên thủy không nặng mùi nhang khói. Nếu có thời gian bạn cứ nghiên cứu, tìm hiểu, mỗi ngày 1 ít thì lâu dần sẽ biết được nhiều."
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","Tui nè :]"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","· Chào đồng đạo nha :)))"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","Bạn ở đâu vậy? Mình ở SG á"
"C-j4DsnTWBd","Trên này thấy nhiều cái thú vị ghê, nhưng mà có ai có hứng thú tìm hiểu, nghiên cứu Phật giáo không nhỉ???","https://www.threads.com/@t.ngohong/post/C-j4DsnTWBd","· Mình ở Hậu Giang á, cách SG 5 tiếng đi xe nha"
"C-ki6tXhw21","cô ấy đạt được cảnh giới mới r, cảnh giới hết tiền Translate 1/3 Top View activityView activity","https://www.threads.com/@heloshybal__/post/C-ki6tXhw21","Profile"
"C-ki6tXhw21","cô ấy đạt được cảnh giới mới r, cảnh giới hết tiền Translate 1/3 Top View activityView activity","https://www.threads.com/@heloshybal__/post/C-ki6tXhw21","T1 liệu cơm gắp mắm, trận với FOX e đi coi, k nói nhiều!"
"C-ki6tXhw21","cô ấy đạt được cảnh giới mới r, cảnh giới hết tiền Translate 1/3 Top View activityView activity","https://www.threads.com/@heloshybal__/post/C-ki6tXhw21","thua thì kbiet, xin người phá dớp và e trúng fmt đi!!!!!!!!!!!!!!!"
