thread_id,title,thread_url,comment_count,first_datetime_utc,last_datetime_utc
034e01933229,Hỏi ngu một chút về LGBT,https://voz.vn/t/hoi-ngu-mot-chut-ve-lgbt.99264/,16,2020-08-03T02:42:36+00:00,2020-08-03T04:06:08+00:00
04876c5f0396,"Nhà trường càng kỳ thị LGBT, học sinh càng mù mờ về giới",https://voz.vn/t/nha-truong-cang-ky-thi-lgbt-hoc-sinh-cang-mu-mo-ve-gioi.658344/,17,2022-11-03T07:01:57+00:00,2022-11-03T07:15:36+00:00
1757607f0d4c,Lãi suất ngân hàng hôm nay 20.7: Kỳ hạn 6 tháng lên đến 9%,https://voz.vn/t/lai-suat-ngan-hang-hom-nay-20-7-ky-han-6-thang-len-den-9.1262184/,19,2026-07-20T08:24:26+00:00,2026-07-22T07:46:51+00:00
1953a87dce36,"Tạ Hiền, nam diễn viên gạo cội của Hong Kong qua đời",https://voz.vn/t/hong-kong-ta-hien-nam-dien-vien-gao-coi-cua-hong-kong-qua-doi.1262286/,20,2026-07-20T13:54:25+00:00,2026-07-20T14:09:14+00:00
1baf97b41a54,Thái Lan hợp pháp hóa hôn nhân đồng giới: Cú hích tỷ USD cho ngành du lịch,https://voz.vn/t/thai-lan-hop-phap-hoa-hon-nhan-dong-gioi-cu-hich-ty-usd-cho-nganh-du-lich.1037185/,20,2024-11-21T01:01:01+00:00,2024-11-21T01:39:36+00:00
28ebae1a072b,Quan điểm của bạn về xu hướng tính dục?,https://voz.vn/t/quan-diem-cua-ban-ve-xu-huong-tinh-duc.808440/,9,2023-07-11T12:56:57+00:00,2023-07-11T16:08:04+00:00
2a09294f9f99,Bước tiến của quyền chuyển đổi giới tính,https://voz.vn/t/buoc-tien-cua-quyen-chuyen-doi-gioi-tinh.787339/,20,2023-06-07T01:44:03+00:00,2023-06-07T02:29:49+00:00
2c455e5b9af9,[CLB Chứng khoán] Chia sẻ kinh nghiệm đầu tư chứng khoán 2026 - Kỷ nguyên vượn mình,https://voz.vn/t/clb-chung-khoan-chia-se-kinh-nghiem-dau-tu-chung-khoan-2026-ky-nguyen-vuon-minh.1188208/,20,2025-12-25T03:48:57+00:00,2025-12-25T15:09:09+00:00
2fa459d32369,"Đề xuất tổ chức khóa học trước kết hôn; khuyến khích vợ chồng, cá nhân sinh con",https://voz.vn/t/de-xuat-to-chuc-khoa-hoc-truoc-ket-hon-khuyen-khich-vo-chong-ca-nhan-sinh-con.1262818/,10,2026-07-22T08:20:34+00:00,2026-07-22T08:27:29+00:00
352f750c09e5,Giỏi Toán nên theo học ngành nào?,https://voz.vn/t/gioi-toan-nen-theo-hoc-nganh-nao.1262506/,13,2026-07-21T08:18:29+00:00,2026-07-21T11:41:51+00:00
