video_id,video_url,title,channel_title,published_at,view_count,like_count,comment_count
DZsLH7-Blns,https://www.youtube.com/watch?v=DZsLH7-Blns,"Dở Rồi: Tiktoker “Khuê Ơi Dạy Đi” Phân Biệt Vùng Miền, Chê Người Miền Nam Nghèo, Lười Hơn Miền Bắc?",BLV Anh Quân TV,2026-06-06T23:30:04Z,58173,1293,1067
JtKAvuW53_E,https://www.youtube.com/watch?v=JtKAvuW53_E,"Nóng: TikToker Khuê Ơi Dậy Đi Phân BVM, Miền Nam Lười Biếng Ham Nhậu, Miền Bắc Dân Giàu Thượng Đẳng",Bình Luận Nhanh,2026-06-07T11:45:12Z,9205,101,50
L19nxlo2nVM,https://www.youtube.com/watch?v=L19nxlo2nVM,Phân biệt vùng miền-Khuê ơi dậy đi-giờ này còn d/oạ phạt ai nói sai về nó ,Chuyện hôm nay ,2026-06-08T09:33:17Z,22227,221,51
MYaDiToxAc8,https://www.youtube.com/watch?v=MYaDiToxAc8,"Khi Tranh Cãi Chọn Tên Tỉnh Và Thủ Phủ Sau Sáp Nhập Bị Biến Tấu Thành Miệt Thị, Phân Biệt Vùng Miền",BLV Anh Quân TV,2025-04-25T12:59:11Z,12424,264,221
JBcLMw6GSZU,https://www.youtube.com/watch?v=JBcLMw6GSZU,Định kiến vùng miền | Zlife,Ấn tượng VTV,2022-05-18T14:00:12Z,122338,4405,322
YHGX1v5FibI,https://www.youtube.com/watch?v=YHGX1v5FibI,Hà Tĩnh TV,Truyền Hình Hà Tĩnh,2023-11-08T07:30:10Z,259,4,1
GhvZrRyyeIs,https://www.youtube.com/watch?v=GhvZrRyyeIs,Tranh luận 2 - Hôn nhân đồng tính,Thinking School Việt Nam,2020-05-04T12:57:47Z,6901,111,4
jWIxZnu9ysI,https://www.youtube.com/watch?v=jWIxZnu9ysI,"Hương Giang bị tố Vô lễ với tiền bối, gây tranh cãi về phát ngôn liên quan đến cộng đồng LGBT",Blog Travel Viet,2020-10-31T06:21:43Z,43527,175,165
ImTVgQ1upnY,https://www.youtube.com/watch?v=ImTVgQ1upnY,"Băng Tay OneLove, LGBT và World Cup tại Qatar dưới góc nhìn Triết học Pháp lý",Luật Khoa tạp chí,2022-11-25T11:00:07Z,1315,48,2
_EFZWitEync,https://www.youtube.com/watch?v=_EFZWitEync,"LGBT+ : NHÃN QUAN Y KHOA VÀ ĐỨC TIN CÔNG GIÁO | Gv Sr Êlisabét Trần Như Ý Lan, CND.",YSOF,2025-08-10T02:22:29Z,12427,343,49
2y7cRNXtAV4,https://www.youtube.com/watch?v=2y7cRNXtAV4,TÔN GIÁO VÀ ĐỒNG TÍNH: PHẬT GIÁO | Phong Trung | Thế giới,Spiderum,2024-02-08T10:30:00Z,27997,780,211
KGu2ks_XmU0,https://www.youtube.com/watch?v=KGu2ks_XmU0,Nữ võ sĩ Imane Khelif đáp trả quyết liệt về giới tính - VNews,VNAMEDIA - TRUNG TÂM NỘI DUNG SỐ VÀ TRUYỀN THÔNG,2024-08-11T03:23:54Z,1126,5,0
ChxKCVSOmgg,https://www.youtube.com/watch?v=ChxKCVSOmgg,Nữ võ sĩ Algeria bị nghi là đàn ông đã khẳng định giới tính sau bán kết Olympic Paris 2024 | SKĐS,Báo Sức khỏe & Đời sống,2024-08-04T12:53:39Z,2140,11,0
bUd3BqDeHGs,https://www.youtube.com/watch?v=bUd3BqDeHGs,Liên hợp quốc chỉ trích quyết định cho phép VĐV gây tranh cãi giới tính thi đấu quyền anh nữ,Báo Phụ Nữ Việt Nam,2024-08-03T01:16:02Z,534,1,
rLMGkE5VKrU,https://www.youtube.com/watch?v=rLMGkE5VKrU,Nữ quyền là gì? Có ăn được không? | Conqueering Da World | QUAN ĐIỂM,Spiderum,2023-03-21T10:34:59Z,51255,1434,439
bk2AfEm2xS0,https://www.youtube.com/watch?v=bk2AfEm2xS0,Trận All-star: Chúng tôi phản đối việc coi phụ nữ là phái đẹp | TRƯỜNG TEEN 2021,VTV7,2022-01-05T04:12:18Z,7204,165,8
A-Cv_aa5dRs,https://www.youtube.com/watch?v=A-Cv_aa5dRs,"""MIỆT THỊ HƯ HỎNG"" (Sl*t-shaming): TRANG PHỤC và NỮ QUYỀN? | Triết học Đại chúng | Hội Đồng Cừu",Hội Đồng Cừu,2022-08-19T13:47:51Z,159354,9879,1359
LHQodXrcfRo,https://www.youtube.com/watch?v=LHQodXrcfRo,Tranh cãi: 92% phụ nữ COI THƯỜNG người đàn ông ở nhà nội trợ,TACA CHANNEL NEW,2026-03-24T11:09:03Z,34202,843,172
KD1CuWiX2Co,https://www.youtube.com/watch?v=KD1CuWiX2Co,Vợ không cho quan hệ - Ông 50 tuổi đòi ly hôn | Cửa sổ tình yêu | Chuyên gia tâm lý Đinh Đoàn,Nhịp Sống Trẻ - Tâm lý & Giới tính,2025-10-21T12:00:38Z,226418,705,155
Yd0o5oISSqM,https://www.youtube.com/watch?v=Yd0o5oISSqM,"“KHÔNG SINH C.O.N LÀ LƯƠNG THIỆN”, HAY XÃ HỘI NGẠI Đ.Ẻ VÌ…A DUA?",BLV Anh Quân Discovery,2024-01-20T02:30:25Z,23565,715,
sRHFxiWp5rc,https://www.youtube.com/watch?v=sRHFxiWp5rc,Có nên SỐNG THỬ TRƯỚC HÔN NHÂN không? | Hoàng Ngoan Beauty,Hoàng Ngoan Beauty,2024-01-11T13:30:31Z,384,13,27
mZWJFhxt7yw,https://www.youtube.com/watch?v=mZWJFhxt7yw,Vợ Hay Chửi Và Xúc Phạm Nhưng Chồng Vẫn Rất Yêu Không Muốn Ly Dị | Đinh Đoàn Tư Vấn Hôn Nhân,CỬA SỔ TÌNH YÊU OFFICIAL,2025-02-01T10:00:52Z,64350,278,83
